case	preflight	bound	reported declarations
canonical	ACCEPT	Schema[enabled=true, requestTimeout=PT30S, primary=null, connections=null, tags=null, labels=null]	[Override[key=collector.enabled, source=input], Override[key=collector.request-timeout, source=input]]
camel	UNKNOWN:[collector.requesttimeout]	Schema[enabled=null, requestTimeout=PT30S, primary=null, connections=null, tags=null, labels=null]	[Override[key=collector.requesttimeout, source=input]]
dashless	UNKNOWN:[collector.requesttimeout]	Schema[enabled=null, requestTimeout=PT30S, primary=null, connections=null, tags=null, labels=null]	[Override[key=collector.requesttimeout, source=input]]
unknown	UNKNOWN:[collector.request-timout]	Schema[enabled=true, requestTimeout=null, primary=null, connections=null, tags=null, labels=null]	[Override[key=collector.enabled, source=input], Override[key=collector.request-timout, source=input]]
invalid-value	ACCEPT	FAIL:IllegalArgumentException	[Override[key=collector.request-timeout, source=input]]
nested	ACCEPT	Schema[enabled=null, requestTimeout=null, primary=Connection[name=alpha, requestTimeout=PT30S], connections=null, tags=null, labels=null]	[Override[key=collector.primary.name, source=input], Override[key=collector.primary.request-timeout, source=input]]
record-as-scalar	ACCEPT	FAIL:ConverterNotFoundException	[Override[key=collector.primary, source=input]]
list-record	ACCEPT	Schema[enabled=null, requestTimeout=null, primary=null, connections=[Connection[name=alpha, requestTimeout=PT30S]], tags=null, labels=null]	[Override[key=collector.connections[0].name, source=input], Override[key=collector.connections[0].request-timeout, source=input]]
list-whole	ACCEPT	Schema[enabled=null, requestTimeout=null, primary=null, connections=null, tags=[a, b], labels=null]	[Override[key=collector.tags, source=input]]
list-indexed	ACCEPT	Schema[enabled=null, requestTimeout=null, primary=null, connections=null, tags=[a, b], labels=null]	[Override[key=collector.tags[0], source=input], Override[key=collector.tags[1], source=input]]
list-hole	ACCEPT	FAIL:UnboundConfigurationPropertiesException	[Override[key=collector.tags[1], source=input]]
negative-index	UNKNOWN:[collector.tags[-1]]	FAIL:UnboundConfigurationPropertiesException	[Override[key=collector.tags[-1], source=input]]
index-trailing-junk	UNKNOWN:[collector.tags[0].junk]	FAIL:UnboundConfigurationPropertiesException	[Override[key=collector.tags[0].junk, source=input]]
flat-map	ACCEPT	Schema[enabled=null, requestTimeout=null, primary=null, connections=null, tags=null, labels={region=east}]	[Override[key=collector.labels.region, source=input]]
dotted-map-key	UNKNOWN:[collector.labels.zone.name]	Schema[enabled=null, requestTimeout=null, primary=null, connections=null, tags=null, labels={zone.name=east}]	[Override[key=collector.labels.zone.name, source=input]]
bracket-map-key	UNKNOWN:[collector.labels[zone.name]]	Schema[enabled=null, requestTimeout=null, primary=null, connections=null, tags=null, labels={zone.name=east}]	[Override[key=collector.labels[zone.name], source=input]]
env-simple	ACCEPT	Schema[enabled=true, requestTimeout=null, primary=null, connections=null, tags=null, labels=null]	[Override[key=collector.enabled, source=environment]]
env-compact	UNKNOWN:[collector.requesttimeout]	Schema[enabled=null, requestTimeout=PT30S, primary=null, connections=null, tags=null, labels=null]	[]
env-split	ACCEPT	Schema[enabled=null, requestTimeout=PT30S, primary=null, connections=null, tags=null, labels=null]	[Override[key=collector.request-timeout, source=environment]]
env-whole-list	UNKNOWN:[collector.tags]	Schema[enabled=null, requestTimeout=null, primary=null, connections=null, tags=[a, b], labels=null]	[]
